
2023/08/03 (23:20:44) | ===> btop++ v.1.2.13
2024/08/25 (18:46:38) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/25 (18:46:38) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/08/25 (18:46:38) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/08/25 (18:46:38) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/25 (19:07:58) | ===> btop++ v.1.3.2
2024/08/25 (19:07:58) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/08/25 (19:07:58) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/25 (19:07:58) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/08/25 (19:07:58) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/08/25 (19:07:58) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/25 (19:15:31) | ===> btop++ v.1.3.2
2024/08/25 (19:15:31) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/08/25 (19:15:31) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/25 (19:15:31) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/08/25 (19:15:31) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/08/25 (19:15:31) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/25 (19:15:39) | ===> btop++ v.1.3.2
2024/08/25 (19:15:39) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/08/25 (19:15:39) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/25 (19:15:39) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/08/25 (19:15:39) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/08/25 (19:15:39) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/26 (00:17:40) | ===> btop++ v.1.3.2
2024/08/26 (00:17:40) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/08/26 (00:17:40) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/26 (00:17:40) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/08/26 (00:17:40) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/08/26 (00:17:40) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/26 (11:27:28) | ===> btop++ v.1.3.2
2024/08/26 (11:27:28) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/08/26 (11:27:28) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/26 (11:27:28) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/08/26 (11:27:28) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/08/26 (11:27:28) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/26 (11:30:57) | ===> btop++ v.1.3.2
2024/08/26 (11:30:57) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/08/26 (11:30:57) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/26 (11:30:57) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/08/26 (11:30:57) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/08/26 (11:30:57) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/26 (11:38:27) | ===> btop++ v.1.3.2
2024/08/26 (11:38:27) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/08/26 (11:38:27) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/26 (11:38:27) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/08/26 (11:38:27) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/08/26 (11:38:27) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/26 (11:45:38) | ===> btop++ v.1.3.2
2024/08/26 (11:45:38) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/08/26 (11:45:38) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/26 (11:45:38) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/08/26 (11:45:38) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/08/26 (11:45:38) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/26 (12:27:01) | ===> btop++ v.1.3.2
2024/08/26 (12:27:01) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/08/26 (12:27:01) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/26 (12:27:01) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/08/26 (12:27:01) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/08/26 (12:27:01) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/26 (17:43:27) | ===> btop++ v.1.3.2
2024/08/26 (17:43:27) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/08/26 (17:43:27) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/26 (17:43:27) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/08/26 (17:43:27) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/08/26 (17:43:27) | WARNING: ROCm SMI: Failed to get PCIe throughput
